Datetime,Water Level (m)
2023-03-19 18:00:00,-0.5140945
2023-03-19 19:00:00,-0.89174706
2023-03-19 20:00:00,-1.2108716
2023-03-19 21:00:00,-1.2777902
2023-03-19 22:00:00,-0.9492784
2023-03-19 23:00:00,-0.5408142
2023-03-20 00:00:00,-0.06419944
2023-03-20 01:00:00,0.31509733
2023-03-20 02:00:00,0.5136439
2023-03-20 03:00:00,0.60415393
2023-03-20 04:00:00,0.4739136
2023-03-20 05:00:00,0.035929285
2023-03-20 06:00:00,-0.48548275
2023-03-20 07:00:00,-0.9013797
2023-03-20 08:00:00,-1.175552
2023-03-20 09:00:00,-1.2152768
2023-03-20 10:00:00,-0.94854957
2023-03-20 11:00:00,-0.5298299
2023-03-20 12:00:00,-0.030039433
2023-03-20 13:00:00,0.41052344
2023-03-20 14:00:00,0.7182964
2023-03-20 15:00:00,0.8749799
2023-03-20 16:00:00,0.83568925
2023-03-20 17:00:00,0.41866204
2023-03-20 18:00:00,-0.17810969
2023-03-20 19:00:00,-0.72615886
2023-03-20 20:00:00,-1.1371441
2023-03-20 21:00:00,-1.3652918
2023-03-20 22:00:00,-1.275493
2023-03-20 23:00:00,-0.8542036
2023-03-21 00:00:00,-0.34368497
2023-03-21 01:00:00,0.14483088
2023-03-21 02:00:00,0.49523586
2023-03-21 03:00:00,0.6803292
2023-03-21 04:00:00,0.7329864
2023-03-21 05:00:00,0.4948326
2023-03-21 06:00:00,-0.042640403
2023-03-21 07:00:00,-0.59250724
2023-03-21 08:00:00,-1.0142537
2023-03-21 09:00:00,-1.2814008
2023-03-21 10:00:00,-1.2644647
2023-03-21 11:00:00,-0.8810384
2023-03-21 12:00:00,-0.3631697
2023-03-21 13:00:00,0.16952655
2023-03-21 14:00:00,0.581885
2023-03-21 15:00:00,0.83217597
2023-03-21 16:00:00,0.9282474
2023-03-21 17:00:00,0.74060184
2023-03-21 18:00:00,0.19272533
2023-03-21 19:00:00,-0.42496607
2023-03-21 20:00:00,-0.92318994
2023-03-21 21:00:00,-1.2884115
2023-03-21 22:00:00,-1.4264542
2023-03-21 23:00:00,-1.1668785
2023-03-22 00:00:00,-0.6852267
2023-03-22 01:00:00,-0.12397593
2023-03-22 02:00:00,0.35269755
2023-03-22 03:00:00,0.65202606
2023-03-22 04:00:00,0.8250874
2023-03-22 05:00:00,0.7979875
2023-03-22 06:00:00,0.39910382
2023-03-22 07:00:00,-0.19450703
2023-03-22 08:00:00,-0.7278053
2023-03-22 09:00:00,-1.126014
2023-03-22 10:00:00,-1.3249218
2023-03-22 11:00:00,-1.1698412
2023-03-22 12:00:00,-0.7159876
2023-03-22 13:00:00,-0.17560878
2023-03-22 14:00:00,0.33995575
2023-03-22 15:00:00,0.67897075
2023-03-22 16:00:00,0.87097096
2023-03-22 17:00:00,0.87428594
2023-03-22 18:00:00,0.5108164
2023-03-22 19:00:00,-0.08428055
2023-03-22 20:00:00,-0.65495807
2023-03-22 21:00:00,-1.0926299
2023-03-22 22:00:00,-1.3833498
2023-03-22 23:00:00,-1.3716743
2023-03-23 00:00:00,-0.959222
2023-03-23 01:00:00,-0.4146127
2023-03-23 02:00:00,0.13795479
2023-03-23 03:00:00,0.55249614
2023-03-23 04:00:00,0.77886105
2023-03-23 05:00:00,0.8802049
2023-03-23 06:00:00,0.69758177
2023-03-23 07:00:00,0.18982546
2023-03-23 08:00:00,-0.38624495
2023-03-23 09:00:00,-0.84351206
2023-03-23 10:00:00,-1.1707155
2023-03-23 11:00:00,-1.257588
2023-03-23 12:00:00,-0.97400075
2023-03-23 13:00:00,-0.5208626
2023-03-23 14:00:00,-0.0023839474
2023-03-23 15:00:00,0.43424103
2023-03-23 16:00:00,0.69597244
2023-03-23 17:00:00,0.80894184
2023-03-23 18:00:00,0.67914873
2023-03-23 19:00:00,0.2036707
2023-03-23 20:00:00,-0.38348496
2023-03-23 21:00:00,-0.87030834
2023-03-23 22:00:00,-1.2503601
2023-03-23 23:00:00,-1.4103423
2023-03-24 00:00:00,-1.2020278
2023-03-24 01:00:00,-0.73638314
2023-03-24 02:00:00,-0.20581046
2023-03-24 03:00:00,0.2818776
2023-03-24 04:00:00,0.60387546
2023-03-24 05:00:00,0.7907141
2023-03-24 06:00:00,0.80715966
2023-03-24 07:00:00,0.50346404
2023-03-24 08:00:00,-0.031958263
2023-03-24 09:00:00,-0.5428785
2023-03-24 10:00:00,-0.9295944
2023-03-24 11:00:00,-1.170893
2023-03-24 12:00:00,-1.1227726
2023-03-24 13:00:00,-0.76332986
2023-03-24 14:00:00,-0.322475
2023-03-24 15:00:00,0.13611187
2023-03-24 16:00:00,0.458141
2023-03-24 17:00:00,0.6413204
2023-03-24 18:00:00,0.65550673
2023-03-24 19:00:00,0.3795226
2023-03-24 20:00:00,-0.1261942
2023-03-24 21:00:00,-0.6316538
2023-03-24 22:00:00,-1.0228759
2023-03-24 23:00:00,-1.2735193
2023-03-25 00:00:00,-1.2726654
2023-03-25 01:00:00,-0.928018
2023-03-25 02:00:00,-0.48348838
2023-03-25 03:00:00,-0.0113468785
2023-03-25 04:00:00,0.3763316
2023-03-25 05:00:00,0.62786746
2023-03-25 06:00:00,0.7513016
2023-03-25 07:00:00,0.6575401
2023-03-25 08:00:00,0.2639048
2023-03-25 09:00:00,-0.23711938
2023-03-25 10:00:00,-0.66565895
2023-03-25 11:00:00,-0.9756528
2023-03-25 12:00:00,-1.0758605
2023-03-25 13:00:00,-0.8898359
2023-03-25 14:00:00,-0.5537282
2023-03-25 15:00:00,-0.16990477
2023-03-25 16:00:00,0.19189453
2023-03-25 17:00:00,0.41317236
2023-03-25 18:00:00,0.5069717
